      No     Day     Mon    Year  Qobs_0000000045  Qsim_0000000045
     339       2       2    1994      113.9000000       94.9736943
     340       3       2    1994      113.9000000       94.3139924
     341       4       2    1994      109.6700000       97.3115037
     342       5       2    1994      113.9000000      111.5357702
     343       6       2    1994      165.9300000      148.3154653
     344       7       2    1994      169.0500000      150.6011823
     345       8       2    1994      164.3800000      142.2465277
     346       9       2    1994      156.6800000      138.8070134
     347      10       2    1994      141.5600000      128.5567786
     348      11       2    1994      135.6200000      118.8801444
     349      12       2    1994      132.6700000      112.1724353
     350      13       2    1994      122.4800000      107.2927728
     351      14       2    1994      115.3200000      103.2434456
     352      15       2    1994      111.0800000       99.5585964
     353      16       2    1994      106.3200000       96.1708794
     354      17       2    1994      103.6500000       93.0499763
     355      18       2    1994      102.3300000       90.1692542
     356      19       2    1994       98.4000000       87.5049561
     357      20       2    1994       86.9800000       85.0358701
     358      21       2    1994       86.9800000       82.8216622
     359      22       2    1994       84.5200000       82.5132487
     360      23       2    1994       83.3000000       83.1652068
     361      24       2    1994       86.9800000       97.9627595
     362      25       2    1994      132.6700000      117.2764927
     363      26       2    1994      135.6200000      112.8128215
     364      27       2    1994      125.3700000      108.9146800
     365      28       2    1994      107.6700000      105.5159387
     366       1       3    1994      111.0800000      110.1912265
     367       2       3    1994      104.9800000      132.9790312
     368       3       3    1994      119.6100000      133.4455117
     369       4       3    1994      116.7500000      125.5296494
     370       5       3    1994      111.0800000      116.1754932
     371       6       3    1994      111.0800000      108.8299015
     372       7       3    1994      102.3300000      105.0080469
     373       8       3    1994       99.7000000      102.0190558
     374       9       3    1994      102.3300000      100.6484765
     375      10       3    1994       95.8100000      100.5601357
     376      11       3    1994      106.3200000      102.1770274
     377      12       3    1994      113.9000000      100.1733271
     378      13       3    1994      107.6700000       98.1590186
     379      14       3    1994      109.6700000       96.0495666
     380      15       3    1994       94.5300000       94.6339331
     381      16       3    1994       95.8100000       92.7607478
     382      17       3    1994       90.7200000       89.6812785
     383      18       3    1994      102.3300000       85.3513145
     384      19       3    1994       93.2500000       80.8524960
     385      20       3    1994       93.2500000       77.9816589
     386      21       3    1994       80.8900000       76.3960293
     387      22       3    1994       83.3000000       75.1829594
     388      23       3    1994       83.3000000       74.6199716
     389      24       3    1994       78.5000000       76.1321893
     390      25       3    1994       77.3100000       78.6547791
     391      26       3    1994       86.9800000       94.5505569
     392      27       3    1994      113.9000000      109.2539175
     393      28       3    1994      118.1700000       97.5447576
